Sl. No,Course Name,State,Name and Address of Medical College/Medical Institution,University Name,Management of College,Year of Inspection of College,Annual Intake (Seats),Status of MCI Recognition,Date of LOP
625,MBBS,Uttar Pradesh,"Government Medical College, Shahjahanpur, UP","King Georges Medical University,Lucknow",Govt.,2019,100,"Permitted for renewal of permission u/s 10(A) 2020-21, Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted (4th renewal) and 5th batch for the Academic Year 2023 - 2024.",29-05-2019
626,MBBS,Uttar Pradesh,"Government Medical College & Super facility Hospital, Azamgarh","King Georges Medical University,Lucknow",Govt.,2013,100,"Recognized in respect of students admitted in the academic year 2013-14, 2014-15 and 2015-16 only. COR granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",10-07-2013
627,MBBS,Uttar Pradesh,"G.S. Medical College & Hospital, Hapur, UP","Ch. Charan Singh Universitiy, Meerut",Trust,2017,150,Recognized for 150 MBBS students admitted during the Year 2017-18 only. Recognized for the year 2022-23 only. Permitted for admission for 2023-24.,31-05-2017
628,MBBS,Uttar Pradesh,"GSVM Medical College, Kanpur","C.S.J.M. University, Kanpur",Govt.,1955,250,Recognized for 190 seats. Permitted for increase of seats from 190 to 250 under EWS quota (103rd constitution amendment) for 2019-20. Renewal of recognition granted for award of degree to 190 seats for 2016-17 batch in academic year 2021-22. Renewal of permission of admission to 250 students continued till 2021-'22.,N/A
629,MBBS,Uttar Pradesh,"Heritage Institute of Medical Sciences, Varanasi","Mahatma Gandhi Kashi Vidyapith, Varanasi",Private,2015,200,"Recognized for 150 seats when degree awarded on or after March, 2020 only for 2015-16 batch. Batch recognition granted for 2016-'17 batch of 150 students when degree awarded in 2021-'22. Renewal of permission to admit 150 students in 2022. Increase of seats from 150 to 200 have been permitted u/s 26(1) (b), 28 (1) (2) and 61(2) during Academic Year 2023-2024. Recognized for one(01) year for 2022-23 only.",10-06-2015
630,MBBS,Uttar Pradesh,"Hind Institute of Medical Sciences , Barabanki","Dr. Ram Manohar Lohia Avadh University, Faizabad",Trust,2009,100,"Recognized when degree granted on or after February,2014. continuation of recognition granted for 100 seats when degree granted on or after 2019. COR granted for one(01) year for 2022-23 only. Permitted for admission for 2023-24.",N/A
631,MBBS,Uttar Pradesh,"Hind Institute of Medical Sciences, Sitapur","King Georges Medical University,Lucknow",Trust,2015,150,"Recognized permitted to admit 150 students in 2015-'16 & 2016-'17. Permission to admit students withheld in 2017-'18 ( ref. U.12012/134/2015-ME-I [FTS. 3114018]). Permission to admit 150 students renewed from 2018-'22. Recognized for 150 seats when degree awarded on or after February, 2020 and for 2021-'22. Recognized for one(01) year for 2022-23 only. Permitted for admission for 2023-24.",08-06-2015
632,MBBS,Uttar Pradesh,"Institute of Medical Sciences, BHU, Varansi",Banaras Hindu University,Govt.,1960,100,Recognized for 59 seats. Recognised for increase of seats from 59 to 84. Permitted for increase of seats from 84 to 100 under EWS quota (103rd constitution amendment) for 2019-20. Renewed permission for admission of 100 seats ( including EWS quota as per 103rd constitution amendment ) from 2019-20.,N/A
633,MBBS,Uttar Pradesh,"Integral Institute of Medical Sciences & Research, Lucknow","Integral University, Lucknow",Private,2013,150,Recognized when degree granted on or after March 2018. Permitted for increase of seats from 100 to 150 u/s 10(A) from 2020-21. Permitted for Renewal of 100- 150 seats for the academic year 2022-23. Permitted for (3rd renewal) 4th batch for the Academic Year 2023 -2024.,13-07-2013
634,MBBS,Uttar Pradesh,"Jawaharlal Nehru Medical College, Aligarh",Aligarh Muslim University,Govt.,1961,150,Recognized Recognized (show cause notice for withdrawal of recognition revoked). Continuation of recognition granted for 150 seats when degree granted on or after 2018-2019.,N/A
635,MBBS,Uttar Pradesh,"K.D. Medical College Hospital & Research Centre, Mathura","Dr B R Ambedkar University,Agra, U.P.",Society,2015,150,Recognized for 150 MBBS seats when degree granted on or after 2022.,28-09-2015
636,MBBS,Uttar Pradesh,"King George Medical University, Lucknow","King Georges Medical University,Lucknow",Govt.,1911,250,Recognized  for 185 seats. Recognized for increase of seats from 185 to 250 when granted on or after 2015-16. Continued permission for admission of 250 seats in 2021-2022.,N/A
637,MBBS,Uttar Pradesh,"Krishna Mohan Medical College & Hospital, Mathura","Dr B R Ambedkar University,Agra, U.P.",Society,2016,150,"Recognized Permitted for admitting 150 seats in 2016-17, 2019-20, 2020-21 and 2021-22. Recognition granted for 150 seats when degree awarded on or after 2021-21, Permitted for renewal of 150 seats for the academic year 2022-23. Permitted for renewal of 150 seats for the Academic Year 2023-2024.",20-08-2016
638,MBBS,Uttar Pradesh,"LLRM Medical College, Meerut","Ch. Charan Singh Universitiy, Meerut",Govt.,1966,100,Recognized for 100 seats. (Previously under Meerut University). Not Permitted for renewal of permission for increase of seats from 100 to 150 u/s 10(A) for 2019-20.,N/A
639,MBBS,Uttar Pradesh,"Mahamaya Rajkiya Allopathic Medical College, Ambedkarnagar","Dr. Ram Manohar Lohia Avadh University, Faizabad",Govt.,2011,100,"Recognized  when degree granted on or after February, 2016. COR granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",N/A
640,MBBS,Uttar Pradesh,"Maharani Laxmi Bai Medical College, Jhansi",Bundelkhand University,Govt.,1968,150,"Recognized for 50. Recognised for increase of seats from 50 to 100 when degree granted on or after February, 2016. Permitted for increase of seats from 100 to 150 under EWS quota (103rd constitution amendment) from 2019-20.",N/A
641,MBBS,Uttar Pradesh,"Maharshi Devraha Baba Autonomous State Medical College, Deoria","Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",Govt.,2021,100,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the Academic Year 2023 - 2024.",01-11-2021
642,MBBS,Uttar Pradesh,"Major S D Singh Medical College and Hospital, Fathehgarh, Farrukhabad","C.S.J.M. University, Kanpur",Trust,2011,,Recognized Recognition is conditional. College Debarred from admission for two academic years i.e. 2017-18 and 2018-19. Not permitted for renewal of permission u/s 10(A) for 2018-19.,N/A
643,MBBS,Uttar Pradesh,"Mayo Institute of Medical Sciences, Barabanki","Dr. Ram Manohar Lohia Avadh University, Faizabad",Trust,2012,250,"Recognized when degree granted on or after March,2017. 150 to 250 seats have been increased u/s 26(1) (b), 28 (1) (2) and 61(2) during Academic Year 2023-2024.",29-06-2012
644,MBBS,Uttar Pradesh,"Moti Lal Nehru Medical College, Allahabad","King Georges Medical University,Lucknow",Govt.,1961,200,"Recognized for 100 seats. Recognized for increase of seats from 100 to 150 when degree granted on or after February, 2018. Permitted for increase of seats from 150 to 200 under EWS quota (103rd constitution amendment) from 2019-20",N/A
645,MBBS,Uttar Pradesh,"Muzaffarnagar Medical College, Muzaffarnagar","Ch. Charan Singh Universitiy, Meerut",Trust,2006,200,"Recognized  for 100 seats. Recognized for increase of seats from 100 to 150 when degree granted on or after March, 2017. Permission to increase from 150 to 200 MBBS seats have been given during A/Y 2023-2024. COR granted for one(01) year for 2022-23 only.",N/A
646,MBBS,Uttar Pradesh,Naraina Medical College & Research Centre,"Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",Society,2021,150,"Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 150 seats for the academic year 2022-23. Permitted (2nd renewal) and permission for 3rd batch for Academic Year 2023 - 2024.",13-10-2021
647,MBBS,Uttar Pradesh,"National Capital Region Institute of Medical Sciences, Meerut","Ch. Charan Singh Universitiy, Meerut",Society,2018,150,Permitted for renewal of permission u/s 10(A) for 2020-21. Permitted for renewal of 150 seats for the academic year 2022-23. Recognized for one(01) year for 2022-23 only. Permitted for admission for 2023-24.,31-05-2018
648,MBBS,Uttar Pradesh,Noida International Institute Of Medical Sciences,Noida International University,Trust,2020,150,"Permitted u/s 10(A) for 2020-21, Permitted for Renewal of 150 seats for the academic year 2022-23. Permitted (3rd renewal) and 4th batch for the Academic Year 2023 - 2024.",15-10-2020
649,MBBS,Uttar Pradesh,"Prasad Institute of Medical Sciences, Lucknow","Dr. Ram Manohar Lohia Avadh University, Faizabad",Trust,2016,150,Other granted renewal of permission u/s 10(A) for 2020-21. Recognized for 150 seats only in respect of the students admitted in 2016-17 for academic year 2021-22. Permitted for renewal of 150 seats for the academic year 2022-23. Recognized for one(01) year for 2022-23 only. Permitted for admission for 2023-24.,20-08-2016
650,MBBS,Uttar Pradesh,"Rajkiya Allopathic Medical College, Bahraich, UP","King Georges Medical University,Lucknow",Govt.,2019,100,"Permitted for renewal of permission u/s 10(A) 2020-21, Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted (4th renewal) 5th batch for the Academic Year 2023 -2024.",29-05-2019
651,MBBS,Uttar Pradesh,"Rajkiya Medical College Jalaun, Orai, Uttar Pradesh","King Georges Medical University,Lucknow",Govt.,,100,"Recognized when degree granted on or after February,2018",15-07-2013
652,MBBS,Uttar Pradesh,"Rajshree Medical Research Institute, Bareilly",M J P Rohilkhand University,Trust,2014,250,"Recognized when degree granted on or after February 2019. 150 to 250 MBBS seats have been increased u/s 26(1) (a) (b), 28 (1) (2) and 61 (2) during 2023-2024.",02-07-2014
653,MBBS,Uttar Pradesh,"Rama Medical College and Hospital , Kanpur","Dr B R Ambedkar University,Agra, U.P.",Trust,2008,150,"Recognized when degree granted on or after April 2013. Continuation of recognition granted when degree awarded upto 2022-23 only. Permitted for increase of seats 100 to 150 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 100-150 seats for the academic year 2022-23. Permitted (2nd Renewal) and 3rd batch from 100-150 M.B.B.S seats during academic year 2023-2024.",29-09-2008
654,MBBS,Uttar Pradesh,"Rama Medical College Hospital and Research Centre, Hapur","Ch. Charan Singh Universitiy, Meerut",Trust,2011,250,"Recognized when degree granted on or after 2016, Permitted for increase of seats 150 to 200 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for additional increase of seats 200 to 250 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permission for additional 50 MBBS seats is permitted by court and conformity of these seats would be subject to the outcome of W.P.(c) 5353/2022, Recognized when degree granted on or after 2016, Permitted for increase of seats 150 to 200 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for additional increase of seats 200 to 250 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permission for additional 50 MBBS seats is permitted by court and conformity of these seats would be subject to the outcome of W.P.(c) 5353/2022. Permitted for Renewal of 150-250 seats for the academic year 2022-23. Permitted (2nd Renewal) and 3rd batch from 150-250 M.B.B.S seats during academic year 2023-2024.",30-06-2011
655,MBBS,Uttar Pradesh,"Rohilkhand Medical College & Hospital, Bareilly","Bareilly International University, Bareilly",Trust,2006,250,"Recognized for 100 seats.(Previously under MJP Rohilkhand University). Recognised for increase of seats from 100 to 150 in respect of the students being trained on or after October, 2017, Permitted for increase of seats 150 to 250 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted for (1st renewal) 2nd batch for the Academic Year 2023 -2024. COR granted for one(01) year for 2022-23 only.",N/A
656,MBBS,Uttar Pradesh,"Santosh Medical College, Ghaziabad",Santosh University,Trust,1996,150,"Recognized  (Previously under Ch.Charan Singh University) Permitted for increase of seats 100 to 150 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted (2nd renewal) and Third batch against annual intake of 100-150 MBBS Students for the academic year 2023-2024.",N/A
657,MBBS,Uttar Pradesh,"Saraswati Institute of Medical Sciences, Hapur","Ch. Charan Singh Universitiy, Meerut",Trust,2008,250,"Recognized Permitted for admitting 100 students in 2016&17. Permission for admitting students withdrawn in 2018-19. Recognized for grating award of degree when granted in 2021-22 for 100 seats. Renewal of permission granted for admitting 100 students in 2019-20. Renewal granted in 2020-21 & 2021-22 of seats with increase in admission test of seats from 100-150. Hundred (100) MBBS seats have been increased i.e. 150 to 250 u/s 26 (1) (a( (b), 28 )1) (2) and 61 (2) of NMC Act, 2029 during Academic Year 2023 - 2024.",15-07-2008
658,MBBS,Uttar Pradesh,"Saraswati Medical College, Unnao, U.P.",CSJM University Kanpur,Trust,2016,150,Other granted renewal of permission u/s 10(A) for 2020-21. Recognized for 150 seats only in respect of the students admitted in 2016-17 for academic year 2021-22. Permitted for renewal of 150 seats for the academic year 2022-23. Disapproved the proposal of renewal for 150 seats during Academic Year 2023 - 2024 due to non - cooperation with the assessment team. Recognized for one(01) year for 2022-23 only.,20-08-2016
659,MBBS,Uttar Pradesh,"School of Medical Sciences & Research,Greater Noida","Sharda University, Greater Noida",Trust,2009,250,"Recognized for 100 seats when degree granted on or after February,2014. Recognized for increase of seats from 100 to 150 when degree granted on or after March, 2020, Increase of 150 to 200 seats for 2021-22,Permitted for increase of seats 200 to 250 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Recognized for 100 seats when degree granted on or after February,2014. Recognized for increase of seats from 100 to 150 when degree granted on or after March, 2020, Increase of 150 to 200 seats for 2021-22,Permitted for increase of seats 200 to 250 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 150-250 seats for the academic year 2022-23. Permitted for (2nd renewal) 3rd batch for the Academic Year 2023 -2024.",13-07-2009
660,MBBS,Uttar Pradesh,"Shaikh-UL-Hind Maulana Mahmood Hasan Medical College, Saharanpur","Ch. Charan Singh Universitiy, Meerut",Govt.,2015,100,Recognized for 100 seats only with respect to students admitted in 2015-16. RecognizedÂ for 100 seats only with respect to students admitted in 2016-17 for academic year 2021-22. Recognized for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,15-06-2015
661,MBBS,Uttar Pradesh,"Shri Ram Murti Smarak Institute of Medical Sciences, Bareilly",M J P Rohilkhand University,Trust,2005,150,"Recognized for 100 seats, when degree granted on or after February, 2010. Continuation of recognition granted for 100 seats, when degree granted on or after 30.04.2016. Renewal of permission granted for 100 seats for 2021-2022, Increase of 100 to 150 seats for 2021-22, Recognized for 100 seats, when degree granted on or after February, 2010. Continuation of recognition granted for 100 seats, when degree granted on or after 30.04.2016. Renewal of permission granted for 100 seats for 2021-2022, Increase of 100 to 150 seats for 2021-22. Permitted for Renewal of 100-150 seats for the academic year 2022-23. Permitted (2nd renewal) and permission for 3rd batch for Academic Year 2023 - 2024. Recognized for one(01) year for 2022-23 only.",13-07-2005
